Total execution time: 120.0231 minutes.

Optimal solution found: 1242.2
Transportation Cost: 717.2
Penalty Cost: 525.0

Parcel Delivery Location:
ID: 1001 -> 15
ID: 1002 -> 14
ID: 1003 -> 1
ID: 1004 -> 1
ID: 1005 -> 1
ID: 1006 -> 1
ID: 1007 -> 1
ID: 1011 -> 1
ID: 1014 -> 1
ID: 1015 -> 10
ID: 1016 -> 1
ID: 1017 -> 1
ID: 1019 -> 7
ID: 1020 -> 1
ID: 1021 -> 1
ID: 1022 -> 7
ID: 1023 -> 14
ID: 1025 -> 16
ID: 1026 -> 2
ID: 1027 -> 2
ID: 1028 -> 2
ID: 1029 -> 2
ID: 1030 -> 2
ID: 1031 -> 2
ID: 1032 -> 2
ID: 1033 -> 2
ID: 1034 -> 2
ID: 1035 -> 2
ID: 1036 -> 2
ID: 1039 -> 16
ID: 1040 -> 20
ID: 1042 -> 10
ID: 1043 -> 2
ID: 1044 -> 7
ID: 1045 -> 18
ID: 1046 -> 8
ID: 1048 -> 2
ID: 1049 -> 2
ID: 1050 -> 2
ID: 1051 -> 3
ID: 1053 -> 3
ID: 1054 -> 18
ID: 1055 -> 18
ID: 1058 -> 2
ID: 1059 -> 3
ID: 1060 -> 19
ID: 1061 -> 3
ID: 1062 -> 3
ID: 1063 -> 3
ID: 1064 -> 3
ID: 1065 -> 3
ID: 1066 -> 3
ID: 1067 -> 3
ID: 1068 -> 3
ID: 1069 -> 3
ID: 1070 -> 14
ID: 1071 -> 3
ID: 1072 -> 3
ID: 1073 -> 3
ID: 1074 -> 19
ID: 1075 -> 3
ID: 1076 -> 4
ID: 1077 -> 12
ID: 1079 -> 4
ID: 1080 -> 4
ID: 1081 -> 4
ID: 1082 -> 4
ID: 1083 -> 4
ID: 1084 -> 4
ID: 1085 -> 13
ID: 1086 -> 4
ID: 1087 -> 4
ID: 1088 -> 4
ID: 1089 -> 4
ID: 1090 -> 4
ID: 1091 -> 12
ID: 1092 -> 1
ID: 1093 -> 11
ID: 1094 -> 14
ID: 1095 -> 4
ID: 1096 -> 16
ID: 1097 -> 4
ID: 1098 -> 2
ID: 1099 -> 4
ID: 1100 -> 4
ID: 1101 -> 5
ID: 1102 -> 5
ID: 1103 -> 5
ID: 1104 -> 5
ID: 1105 -> 10
ID: 1106 -> 5
ID: 1107 -> 10
ID: 1108 -> 1
ID: 1109 -> 5
ID: 1110 -> 5
ID: 1111 -> 17
ID: 1112 -> 9
ID: 1113 -> 5
ID: 1114 -> 17
ID: 1115 -> 9
ID: 1119 -> 5
ID: 1120 -> 5
ID: 1121 -> 5
ID: 1122 -> 5
ID: 1123 -> 5
ID: 1124 -> 5
ID: 1127 -> 6
ID: 1128 -> 6
ID: 1129 -> 6
ID: 1130 -> 6
ID: 1132 -> 6
ID: 1133 -> 6
ID: 1134 -> 6
ID: 1135 -> 6
ID: 1136 -> 6
ID: 1138 -> 20
ID: 1139 -> 6
ID: 1140 -> 13
ID: 1141 -> 5
ID: 1143 -> 6
ID: 1144 -> 6
ID: 1145 -> 6
ID: 1146 -> 6
ID: 1147 -> 6
ID: 1148 -> 6
ID: 1149 -> 2
ID: 1150 -> 8
ID: 1151 -> 7
ID: 1152 -> 7
ID: 1157 -> 7
ID: 1158 -> 7
ID: 1159 -> 3
ID: 1161 -> 7
ID: 1162 -> 7
ID: 1163 -> 7
ID: 1164 -> 7
ID: 1166 -> 7
ID: 1168 -> 7
ID: 1170 -> 7
ID: 1171 -> 7
ID: 1174 -> 5
ID: 1176 -> 10
ID: 1177 -> 9
ID: 1178 -> 17
ID: 1179 -> 7
ID: 1180 -> 8
ID: 1182 -> 8
ID: 1183 -> 8
ID: 1184 -> 8
ID: 1185 -> 8
ID: 1187 -> 8
ID: 1189 -> 8
ID: 1190 -> 10
ID: 1191 -> 8
ID: 1192 -> 18
ID: 1193 -> 9
ID: 1194 -> 8
ID: 1195 -> 8
ID: 1196 -> 13
ID: 1197 -> 9
ID: 1198 -> 8
ID: 1199 -> 12
ID: 1200 -> 2
ID: 1202 -> 9
ID: 1203 -> 5
ID: 1204 -> 9
ID: 1205 -> 9
ID: 1206 -> 15
ID: 1207 -> 9
ID: 1209 -> 9
ID: 1210 -> 9
ID: 1211 -> 20
ID: 1212 -> 9
ID: 1213 -> 9
ID: 1214 -> 16
ID: 1215 -> 9
ID: 1216 -> 13
ID: 1217 -> 5
ID: 1218 -> 9
ID: 1221 -> 9
ID: 1224 -> 9
ID: 1225 -> 9
ID: 1226 -> 10
ID: 1227 -> 10
ID: 1228 -> 7
ID: 1229 -> 10
ID: 1230 -> 10
ID: 1231 -> 10
ID: 1232 -> 11
ID: 1233 -> 10
ID: 1234 -> 10
ID: 1235 -> 10
ID: 1236 -> 10
ID: 1237 -> 10
ID: 1238 -> 19
ID: 1239 -> 13
ID: 1240 -> 10
ID: 1242 -> 10
ID: 1244 -> 10
ID: 1245 -> 10
ID: 1247 -> 18
ID: 1248 -> 10
ID: 1249 -> 13
ID: 1250 -> 10
ID: 1252 -> 11
ID: 1253 -> 11
ID: 1254 -> 11
ID: 1256 -> 11
ID: 1257 -> 11
ID: 1258 -> 12
ID: 1259 -> 10
ID: 1260 -> 11
ID: 1261 -> 11
ID: 1262 -> 11
ID: 1263 -> 11
ID: 1265 -> 9
ID: 1266 -> 5
ID: 1267 -> 11
ID: 1269 -> 11
ID: 1274 -> 19
ID: 1275 -> 11
ID: 1276 -> 1
ID: 1277 -> 12
ID: 1278 -> 14
ID: 1279 -> 11
ID: 1280 -> 12
ID: 1281 -> 12
ID: 1282 -> 12
ID: 1283 -> 15
ID: 1284 -> 12
ID: 1285 -> 12
ID: 1286 -> 12
ID: 1287 -> 12
ID: 1288 -> 12
ID: 1289 -> 12
ID: 1290 -> 13
ID: 1292 -> 12
ID: 1293 -> 12
ID: 1294 -> 12
ID: 1295 -> 12
ID: 1296 -> 12
ID: 1297 -> 12
ID: 1298 -> 12
ID: 1299 -> 12
ID: 1300 -> 12
ID: 1301 -> 13
ID: 1302 -> 13
ID: 1303 -> 13
ID: 1304 -> 20
ID: 1305 -> 11
ID: 1306 -> 13
ID: 1308 -> 14
ID: 1311 -> 1
ID: 1313 -> 13
ID: 1314 -> 13
ID: 1315 -> 13
ID: 1316 -> 13
ID: 1317 -> 5
ID: 1319 -> 17
ID: 1321 -> 11
ID: 1322 -> 17
ID: 1324 -> 13
ID: 1325 -> 13
ID: 1329 -> 14
ID: 1330 -> 16
ID: 1331 -> 14
ID: 1332 -> 11
ID: 1333 -> 14
ID: 1335 -> 14
ID: 1336 -> 15
ID: 1337 -> 19
ID: 1338 -> 5
ID: 1340 -> 14
ID: 1341 -> 14
ID: 1342 -> 14
ID: 1343 -> 14
ID: 1344 -> 7
ID: 1345 -> 13
ID: 1346 -> 19
ID: 1347 -> 12
ID: 1348 -> 14
ID: 1349 -> 16
ID: 1350 -> 1
ID: 1352 -> 15
ID: 1353 -> 15
ID: 1354 -> 15
ID: 1355 -> 11
ID: 1356 -> 15
ID: 1358 -> 15
ID: 1359 -> 15
ID: 1360 -> 15
ID: 1361 -> 15
ID: 1362 -> 10
ID: 1364 -> 15
ID: 1365 -> 15
ID: 1366 -> 15
ID: 1367 -> 15
ID: 1368 -> 15
ID: 1369 -> 12
ID: 1370 -> 5
ID: 1371 -> 15
ID: 1372 -> 7
ID: 1373 -> 15
ID: 1374 -> 15
ID: 1375 -> 15
ID: 1376 -> 7
ID: 1377 -> 16
ID: 1378 -> 16
ID: 1380 -> 5
ID: 1381 -> 12
ID: 1382 -> 17
ID: 1383 -> 16
ID: 1384 -> 16
ID: 1385 -> 9
ID: 1386 -> 16
ID: 1387 -> 11
ID: 1388 -> 8
ID: 1389 -> 10
ID: 1390 -> 16
ID: 1391 -> 16
ID: 1392 -> 16
ID: 1393 -> 11
ID: 1394 -> 16
ID: 1396 -> 16
ID: 1397 -> 16
ID: 1398 -> 13
ID: 1399 -> 5
ID: 1400 -> 16
ID: 1402 -> 17
ID: 1404 -> 19
ID: 1406 -> 17
ID: 1407 -> 18
ID: 1408 -> 17
ID: 1409 -> 17
ID: 1412 -> 2
ID: 1413 -> 17
ID: 1414 -> 17
ID: 1415 -> 6
ID: 1416 -> 17
ID: 1417 -> 17
ID: 1418 -> 15
ID: 1419 -> 17
ID: 1420 -> 13
ID: 1421 -> 17
ID: 1422 -> 10
ID: 1424 -> 17
ID: 1425 -> 17
ID: 1426 -> 18
ID: 1427 -> 18
ID: 1428 -> 18
ID: 1429 -> 12
ID: 1430 -> 8
ID: 1431 -> 18
ID: 1432 -> 18
ID: 1433 -> 18
ID: 1436 -> 18
ID: 1437 -> 5
ID: 1439 -> 18
ID: 1440 -> 18
ID: 1441 -> 18
ID: 1442 -> 3
ID: 1443 -> 18
ID: 1444 -> 18
ID: 1449 -> 18
ID: 1451 -> 15
ID: 1452 -> 19
ID: 1453 -> 13
ID: 1454 -> 19
ID: 1456 -> 7
ID: 1457 -> 5
ID: 1458 -> 19
ID: 1459 -> 19
ID: 1461 -> 3
ID: 1462 -> 17
ID: 1463 -> 19
ID: 1464 -> 19
ID: 1465 -> 19
ID: 1466 -> 19
ID: 1467 -> 19
ID: 1468 -> 19
ID: 1469 -> 19
ID: 1471 -> 19
ID: 1472 -> 19
ID: 1474 -> 10
ID: 1475 -> 19
ID: 1476 -> 20
ID: 1477 -> 10
ID: 1478 -> 20
ID: 1479 -> 20
ID: 1480 -> 20
ID: 1481 -> 20
ID: 1482 -> 20
ID: 1483 -> 15
ID: 1487 -> 20
ID: 1489 -> 20
ID: 1490 -> 11
ID: 1491 -> 20
ID: 1494 -> 20
ID: 1496 -> 20
ID: 1497 -> 20
ID: 1498 -> 5
ID: 1499 -> 8
ID: 1500 -> 20

Total number of parcels delivered: 403 / 500

Arriving time on each SP:
Smart Point 1: 83.0
Smart Point 2: 57.0
Smart Point 3: 77.0
Smart Point 4: 58.0
Smart Point 5: 43.0
Smart Point 6: 17.0
Smart Point 7: 17.0
Smart Point 8: 83.0
Smart Point 9: 10.0
Smart Point 10: 38.0
Smart Point 11: 10.0
Smart Point 12: 18.0
Smart Point 13: 50.0
Smart Point 14: 10.0
Smart Point 15: 42.0
Smart Point 16: 42.0
Smart Point 17: 68.0
Smart Point 18: 81.0
Smart Point 19: 12.0
Smart Point 20: 33.0

Total number of vehicles used: 7

Route 1: 0->6->5->18->0
Route 2: 0->7->13->8->0
Route 3: 0->9->10->0
Route 4: 0->11->16->17->0
Route 5: 0->12->2->0
Route 6: 0->14->20->4->1->0
Route 7: 0->19->15->3->0
