Total execution time: 60.0175 minutes.

Optimal solution found: 1512.2
Transportation Cost: 762.2
Penalty Cost: 750.0

Parcel Delivery Location:
ID: 1001 -> 3
ID: 1002 -> 1
ID: 1003 -> 1
ID: 1004 -> 3
ID: 1005 -> 10
ID: 1006 -> 1
ID: 1007 -> 9
ID: 1008 -> 1
ID: 1009 -> 1
ID: 1010 -> 9
ID: 1011 -> 11
ID: 1012 -> 17
ID: 1014 -> 1
ID: 1015 -> 10
ID: 1016 -> 1
ID: 1017 -> 9
ID: 1019 -> 15
ID: 1020 -> 8
ID: 1022 -> 19
ID: 1023 -> 8
ID: 1024 -> 7
ID: 1028 -> 2
ID: 1029 -> 2
ID: 1032 -> 20
ID: 1033 -> 2
ID: 1034 -> 19
ID: 1035 -> 7
ID: 1036 -> 2
ID: 1037 -> 8
ID: 1038 -> 2
ID: 1039 -> 7
ID: 1040 -> 2
ID: 1041 -> 14
ID: 1042 -> 13
ID: 1043 -> 12
ID: 1045 -> 2
ID: 1046 -> 2
ID: 1047 -> 2
ID: 1048 -> 2
ID: 1052 -> 3
ID: 1053 -> 6
ID: 1054 -> 1
ID: 1055 -> 18
ID: 1057 -> 15
ID: 1058 -> 3
ID: 1059 -> 3
ID: 1060 -> 3
ID: 1061 -> 13
ID: 1062 -> 15
ID: 1064 -> 13
ID: 1065 -> 14
ID: 1066 -> 3
ID: 1067 -> 18
ID: 1068 -> 9
ID: 1069 -> 3
ID: 1070 -> 7
ID: 1071 -> 3
ID: 1072 -> 12
ID: 1073 -> 3
ID: 1074 -> 3
ID: 1076 -> 4
ID: 1077 -> 7
ID: 1079 -> 4
ID: 1080 -> 4
ID: 1081 -> 17
ID: 1082 -> 19
ID: 1085 -> 4
ID: 1086 -> 14
ID: 1088 -> 4
ID: 1091 -> 13
ID: 1092 -> 4
ID: 1093 -> 12
ID: 1094 -> 10
ID: 1095 -> 6
ID: 1096 -> 4
ID: 1100 -> 4
ID: 1101 -> 5
ID: 1102 -> 5
ID: 1103 -> 10
ID: 1104 -> 9
ID: 1105 -> 5
ID: 1106 -> 5
ID: 1107 -> 5
ID: 1108 -> 5
ID: 1109 -> 5
ID: 1110 -> 19
ID: 1111 -> 7
ID: 1113 -> 3
ID: 1115 -> 9
ID: 1116 -> 5
ID: 1117 -> 5
ID: 1118 -> 5
ID: 1119 -> 15
ID: 1120 -> 18
ID: 1122 -> 5
ID: 1123 -> 5
ID: 1124 -> 5
ID: 1125 -> 10
ID: 1126 -> 6
ID: 1128 -> 6
ID: 1129 -> 12
ID: 1130 -> 6
ID: 1132 -> 6
ID: 1133 -> 10
ID: 1134 -> 2
ID: 1136 -> 6
ID: 1137 -> 6
ID: 1138 -> 11
ID: 1139 -> 6
ID: 1140 -> 6
ID: 1142 -> 13
ID: 1143 -> 3
ID: 1144 -> 6
ID: 1145 -> 6
ID: 1146 -> 6
ID: 1147 -> 6
ID: 1148 -> 6
ID: 1149 -> 6
ID: 1150 -> 6
ID: 1151 -> 11
ID: 1152 -> 7
ID: 1154 -> 7
ID: 1155 -> 7
ID: 1156 -> 7
ID: 1157 -> 7
ID: 1158 -> 7
ID: 1159 -> 7
ID: 1160 -> 7
ID: 1162 -> 7
ID: 1164 -> 7
ID: 1165 -> 7
ID: 1167 -> 7
ID: 1168 -> 15
ID: 1170 -> 13
ID: 1171 -> 9
ID: 1172 -> 11
ID: 1173 -> 7
ID: 1175 -> 10
ID: 1176 -> 8
ID: 1177 -> 8
ID: 1178 -> 8
ID: 1180 -> 15
ID: 1182 -> 8
ID: 1183 -> 8
ID: 1184 -> 8
ID: 1185 -> 8
