Total execution time: 0.0022 minutes.

Parcels delivered: 338 / 400

---Parcel Delivery Location---
ID: 1001 -> 9
ID: 1004 -> 1
ID: 1005 -> 1
ID: 1006 -> 1
ID: 1007 -> 1
ID: 1008 -> 1
ID: 1009 -> 6
ID: 1010 -> 1
ID: 1012 -> 1
ID: 1014 -> 1
ID: 1015 -> 10
ID: 1017 -> 3
ID: 1020 -> 1
ID: 1021 -> 2
ID: 1022 -> 2
ID: 1023 -> 2
ID: 1025 -> 2
ID: 1026 -> 2
ID: 1027 -> 2
ID: 1029 -> 2
ID: 1030 -> 2
ID: 1031 -> 2
ID: 1032 -> 2
ID: 1033 -> 2
ID: 1034 -> 2
ID: 1035 -> 2
ID: 1036 -> 1
ID: 1037 -> 3
ID: 1038 -> 7
ID: 1039 -> 2
ID: 1040 -> 8
ID: 1041 -> 3
ID: 1042 -> 3
ID: 1043 -> 3
ID: 1044 -> 3
ID: 1051 -> 3
ID: 1053 -> 5
ID: 1055 -> 8
ID: 1059 -> 3
ID: 1060 -> 3
ID: 1061 -> 4
ID: 1062 -> 4
ID: 1063 -> 4
ID: 1064 -> 6
ID: 1066 -> 4
ID: 1067 -> 4
ID: 1068 -> 4
ID: 1070 -> 4
ID: 1072 -> 4
ID: 1074 -> 4
ID: 1075 -> 4
ID: 1076 -> 4
ID: 1077 -> 4
ID: 1078 -> 4
ID: 1079 -> 4
ID: 1080 -> 4
ID: 1081 -> 5
ID: 1082 -> 5
ID: 1083 -> 5
ID: 1084 -> 5
ID: 1085 -> 5
ID: 1086 -> 5
ID: 1087 -> 5
ID: 1088 -> 5
ID: 1089 -> 5
ID: 1090 -> 5
ID: 1091 -> 5
ID: 1092 -> 5
ID: 1093 -> 5
ID: 1094 -> 5
ID: 1095 -> 5
ID: 1096 -> 5
ID: 1097 -> 5
ID: 1098 -> 5
ID: 1099 -> 5
ID: 1100 -> 5
ID: 1101 -> 6
ID: 1102 -> 6
ID: 1104 -> 12
ID: 1106 -> 15
ID: 1107 -> 6
ID: 1108 -> 6
ID: 1109 -> 6
ID: 1110 -> 6
ID: 1111 -> 15
ID: 1112 -> 6
ID: 1113 -> 6
ID: 1114 -> 6
ID: 1115 -> 6
ID: 1117 -> 6
ID: 1118 -> 6
ID: 1119 -> 6
ID: 1120 -> 6
ID: 1121 -> 7
ID: 1122 -> 7
ID: 1123 -> 7
ID: 1126 -> 7
ID: 1127 -> 7
ID: 1128 -> 7
ID: 1129 -> 7
ID: 1130 -> 7
ID: 1131 -> 7
ID: 1132 -> 7
ID: 1133 -> 7
ID: 1134 -> 7
ID: 1135 -> 7
ID: 1136 -> 7
ID: 1137 -> 7
ID: 1138 -> 7
ID: 1139 -> 7
ID: 1140 -> 7
ID: 1141 -> 8
ID: 1142 -> 4
ID: 1144 -> 8
ID: 1146 -> 8
ID: 1148 -> 8
ID: 1151 -> 8
ID: 1152 -> 8
ID: 1155 -> 8
ID: 1158 -> 8
ID: 1161 -> 9
ID: 1162 -> 9
ID: 1163 -> 9
ID: 1164 -> 9
ID: 1165 -> 9
ID: 1166 -> 9
ID: 1167 -> 9
ID: 1168 -> 9
ID: 1169 -> 9
ID: 1170 -> 9
ID: 1171 -> 9
ID: 1172 -> 9
ID: 1173 -> 9
ID: 1174 -> 9
ID: 1175 -> 9
ID: 1176 -> 9
ID: 1177 -> 9
ID: 1178 -> 9
ID: 1179 -> 9
ID: 1180 -> 9
ID: 1181 -> 10
ID: 1182 -> 10
ID: 1183 -> 10
ID: 1184 -> 10
ID: 1185 -> 10
ID: 1187 -> 10
ID: 1188 -> 10
ID: 1190 -> 10
ID: 1193 -> 10
ID: 1194 -> 10
ID: 1196 -> 10
ID: 1197 -> 10
ID: 1198 -> 10
ID: 1199 -> 10
ID: 1200 -> 10
ID: 1201 -> 11
ID: 1202 -> 11
ID: 1203 -> 11
ID: 1204 -> 11
ID: 1205 -> 11
ID: 1206 -> 11
ID: 1207 -> 11
ID: 1208 -> 11
ID: 1209 -> 11
ID: 1210 -> 11
ID: 1211 -> 11
ID: 1212 -> 11
ID: 1213 -> 11
ID: 1214 -> 20
ID: 1215 -> 13
ID: 1216 -> 11
ID: 1217 -> 11
ID: 1218 -> 11
ID: 1219 -> 11
ID: 1220 -> 11
ID: 1221 -> 12
ID: 1222 -> 12
ID: 1223 -> 12
ID: 1224 -> 12
ID: 1225 -> 12
ID: 1226 -> 12
ID: 1227 -> 12
ID: 1228 -> 12
ID: 1229 -> 12
ID: 1230 -> 12
ID: 1231 -> 3
ID: 1232 -> 12
ID: 1233 -> 12
ID: 1234 -> 12
ID: 1235 -> 6
ID: 1236 -> 12
ID: 1237 -> 12
ID: 1238 -> 12
ID: 1239 -> 12
ID: 1240 -> 12
ID: 1241 -> 13
ID: 1242 -> 13
ID: 1243 -> 13
ID: 1244 -> 13
ID: 1245 -> 13
ID: 1246 -> 13
ID: 1247 -> 13
ID: 1248 -> 13
ID: 1249 -> 13
ID: 1250 -> 14
ID: 1251 -> 13
ID: 1252 -> 13
ID: 1253 -> 13
ID: 1254 -> 13
ID: 1255 -> 13
ID: 1256 -> 13
ID: 1257 -> 13
ID: 1258 -> 13
ID: 1259 -> 13
ID: 1260 -> 13
ID: 1261 -> 14
ID: 1262 -> 14
ID: 1263 -> 14
ID: 1265 -> 14
ID: 1266 -> 14
ID: 1268 -> 14
ID: 1269 -> 3
ID: 1270 -> 14
ID: 1271 -> 14
ID: 1272 -> 14
ID: 1273 -> 5
ID: 1274 -> 14
ID: 1275 -> 14
ID: 1276 -> 14
ID: 1277 -> 8
ID: 1278 -> 14
ID: 1279 -> 14
ID: 1280 -> 14
ID: 1281 -> 14
ID: 1282 -> 15
ID: 1283 -> 8
ID: 1284 -> 17
ID: 1285 -> 15
ID: 1286 -> 15
ID: 1287 -> 15
ID: 1288 -> 15
ID: 1289 -> 3
ID: 1290 -> 15
ID: 1291 -> 15
ID: 1292 -> 3
ID: 1293 -> 15
ID: 1294 -> 15
ID: 1295 -> 15
ID: 1296 -> 3
ID: 1297 -> 15
ID: 1298 -> 15
ID: 1299 -> 15
ID: 1300 -> 15
ID: 1301 -> 6
ID: 1302 -> 16
ID: 1303 -> 7
ID: 1305 -> 16
ID: 1306 -> 16
ID: 1307 -> 16
ID: 1308 -> 12
ID: 1309 -> 16
ID: 1310 -> 16
ID: 1311 -> 16
ID: 1312 -> 16
ID: 1313 -> 16
ID: 1314 -> 16
ID: 1315 -> 16
ID: 1316 -> 17
ID: 1317 -> 16
ID: 1318 -> 16
ID: 1319 -> 16
ID: 1320 -> 16
ID: 1321 -> 6
ID: 1322 -> 17
ID: 1323 -> 17
ID: 1325 -> 17
ID: 1326 -> 17
ID: 1327 -> 17
ID: 1328 -> 17
ID: 1329 -> 17
ID: 1330 -> 17
ID: 1331 -> 17
ID: 1332 -> 17
ID: 1333 -> 17
ID: 1334 -> 17
ID: 1335 -> 6
ID: 1336 -> 1
ID: 1339 -> 17
ID: 1340 -> 17
ID: 1345 -> 10
ID: 1346 -> 19
ID: 1347 -> 2
ID: 1348 -> 3
ID: 1349 -> 18
ID: 1350 -> 18
ID: 1351 -> 18
ID: 1352 -> 9
ID: 1353 -> 18
ID: 1356 -> 18
ID: 1359 -> 18
ID: 1360 -> 18
ID: 1361 -> 4
ID: 1362 -> 19
ID: 1363 -> 19
ID: 1364 -> 5
ID: 1365 -> 19
ID: 1366 -> 19
ID: 1367 -> 19
ID: 1368 -> 19
ID: 1370 -> 19
ID: 1371 -> 19
ID: 1372 -> 19
ID: 1373 -> 19
ID: 1374 -> 19
ID: 1375 -> 19
ID: 1376 -> 19
ID: 1377 -> 19
ID: 1379 -> 19
ID: 1381 -> 2
ID: 1382 -> 20
ID: 1383 -> 20
ID: 1384 -> 20
ID: 1385 -> 20
ID: 1386 -> 8
ID: 1387 -> 7
ID: 1388 -> 20
ID: 1389 -> 20
ID: 1390 -> 20
ID: 1391 -> 20
ID: 1392 -> 20
ID: 1393 -> 20
ID: 1394 -> 12
ID: 1395 -> 20
ID: 1396 -> 20
ID: 1397 -> 20
ID: 1398 -> 20
ID: 1399 -> 20
ID: 1400 -> 20
------------------------------

--------Arriving Times--------
SmartPoint 1: 26.4
SmartPoint 2: 20.9
SmartPoint 3: 56.2
SmartPoint 4: 20.4
SmartPoint 5: 22.0
SmartPoint 6: 16.6
SmartPoint 7: 16.7
SmartPoint 8: 50.2
SmartPoint 9: 50.7
SmartPoint 10: 83.0
SmartPoint 11: 10.0
SmartPoint 12: 48.0
SmartPoint 13: 74.9
SmartPoint 14: 57.8
SmartPoint 15: 37.5
SmartPoint 16: 52.1
SmartPoint 17: 75.0
SmartPoint 18: 114.9
SmartPoint 19: 78.0
SmartPoint 20: 71.0
------------------------------

------------Routes------------
Route 1: 0->1->8->13->0
Route 2: 0->2->3->10->18->0
Route 3: 0->4->9->0
Route 4: 0->5->14->0
Route 5: 0->6->12->19->0
Route 6: 0->7->16->17->0
Route 7: 0->11->15->20->0
------------------------------

Transportation Cost: 763.3
