Total execution time: 0.0019 minutes.

Parcels delivered: 200 / 200

---Parcel Delivery Location---
ID: 1001 -> 14
ID: 1002 -> 1
ID: 1003 -> 1
ID: 1004 -> 1
ID: 1005 -> 10
ID: 1006 -> 1
ID: 1007 -> 3
ID: 1008 -> 12
ID: 1009 -> 1
ID: 1010 -> 8
ID: 1011 -> 2
ID: 1012 -> 2
ID: 1013 -> 2
ID: 1014 -> 2
ID: 1015 -> 2
ID: 1016 -> 2
ID: 1017 -> 2
ID: 1018 -> 2
ID: 1019 -> 2
ID: 1020 -> 4
ID: 1021 -> 11
ID: 1022 -> 1
ID: 1023 -> 3
ID: 1024 -> 3
ID: 1025 -> 9
ID: 1026 -> 9
ID: 1027 -> 14
ID: 1028 -> 15
ID: 1029 -> 15
ID: 1030 -> 14
ID: 1031 -> 4
ID: 1032 -> 3
ID: 1033 -> 4
ID: 1034 -> 4
ID: 1035 -> 4
ID: 1036 -> 4
ID: 1037 -> 4
ID: 1038 -> 5
ID: 1039 -> 4
ID: 1040 -> 4
ID: 1041 -> 5
ID: 1042 -> 5
ID: 1043 -> 5
ID: 1044 -> 5
ID: 1045 -> 5
ID: 1046 -> 5
ID: 1047 -> 5
ID: 1048 -> 5
ID: 1049 -> 5
ID: 1050 -> 5
ID: 1051 -> 6
ID: 1052 -> 6
ID: 1053 -> 6
ID: 1054 -> 3
ID: 1055 -> 6
ID: 1056 -> 6
ID: 1057 -> 6
ID: 1058 -> 6
ID: 1059 -> 6
ID: 1060 -> 6
ID: 1061 -> 20
ID: 1062 -> 7
ID: 1063 -> 7
ID: 1064 -> 8
ID: 1065 -> 7
ID: 1066 -> 7
ID: 1067 -> 7
ID: 1068 -> 7
ID: 1069 -> 7
ID: 1070 -> 2
ID: 1071 -> 8
ID: 1072 -> 8
ID: 1073 -> 8
ID: 1074 -> 8
ID: 1075 -> 8
ID: 1076 -> 8
ID: 1077 -> 8
ID: 1078 -> 8
ID: 1079 -> 8
ID: 1080 -> 8
ID: 1081 -> 9
ID: 1082 -> 18
ID: 1083 -> 4
ID: 1084 -> 9
ID: 1085 -> 9
ID: 1086 -> 9
ID: 1087 -> 9
ID: 1088 -> 9
ID: 1089 -> 9
ID: 1090 -> 9
ID: 1091 -> 10
ID: 1092 -> 10
ID: 1093 -> 10
ID: 1094 -> 10
ID: 1095 -> 10
ID: 1096 -> 10
ID: 1097 -> 10
ID: 1098 -> 10
ID: 1099 -> 10
ID: 1100 -> 10
ID: 1101 -> 11
ID: 1102 -> 11
ID: 1103 -> 11
ID: 1104 -> 11
ID: 1105 -> 11
ID: 1106 -> 11
ID: 1107 -> 11
ID: 1108 -> 11
ID: 1109 -> 11
ID: 1110 -> 11
ID: 1111 -> 12
ID: 1112 -> 12
ID: 1113 -> 12
ID: 1114 -> 9
ID: 1115 -> 12
ID: 1116 -> 12
ID: 1117 -> 12
ID: 1118 -> 12
ID: 1119 -> 12
ID: 1120 -> 12
ID: 1121 -> 17
ID: 1122 -> 13
ID: 1123 -> 13
ID: 1124 -> 13
ID: 1125 -> 13
ID: 1126 -> 13
ID: 1127 -> 13
ID: 1128 -> 13
ID: 1129 -> 13
ID: 1130 -> 19
ID: 1131 -> 14
ID: 1132 -> 8
ID: 1133 -> 14
ID: 1134 -> 14
ID: 1135 -> 14
ID: 1136 -> 14
ID: 1137 -> 14
ID: 1138 -> 11
ID: 1139 -> 8
ID: 1140 -> 14
ID: 1141 -> 4
ID: 1142 -> 15
ID: 1143 -> 15
ID: 1144 -> 15
ID: 1145 -> 15
ID: 1146 -> 15
ID: 1147 -> 16
ID: 1148 -> 15
ID: 1149 -> 16
ID: 1150 -> 15
ID: 1151 -> 16
ID: 1152 -> 16
ID: 1153 -> 16
ID: 1154 -> 16
ID: 1155 -> 16
ID: 1156 -> 19
ID: 1157 -> 16
ID: 1158 -> 16
ID: 1159 -> 16
ID: 1160 -> 16
ID: 1161 -> 17
ID: 1162 -> 17
ID: 1163 -> 17
ID: 1164 -> 10
ID: 1165 -> 5
ID: 1166 -> 17
ID: 1167 -> 17
ID: 1168 -> 17
ID: 1169 -> 17
ID: 1170 -> 17
ID: 1171 -> 18
ID: 1172 -> 18
ID: 1173 -> 18
ID: 1174 -> 18
ID: 1175 -> 5
ID: 1176 -> 18
ID: 1177 -> 18
ID: 1178 -> 18
ID: 1179 -> 18
ID: 1180 -> 14
ID: 1181 -> 19
ID: 1182 -> 8
ID: 1183 -> 19
ID: 1184 -> 19
ID: 1185 -> 19
ID: 1186 -> 19
ID: 1187 -> 19
ID: 1188 -> 19
ID: 1189 -> 19
ID: 1190 -> 19
ID: 1191 -> 18
ID: 1192 -> 20
ID: 1193 -> 20
ID: 1194 -> 20
ID: 1195 -> 20
ID: 1196 -> 20
ID: 1197 -> 20
ID: 1198 -> 20
ID: 1199 -> 20
ID: 1200 -> 20
------------------------------

--------Arriving Times--------
SmartPoint 1: 26.4
SmartPoint 2: 20.9
SmartPoint 3: 18.5
SmartPoint 4: 41.3
SmartPoint 5: 22.0
SmartPoint 6: 16.6
SmartPoint 7: 38.6
SmartPoint 8: 22.0
SmartPoint 9: 41.3
SmartPoint 10: 71.0
SmartPoint 11: 41.8
SmartPoint 12: 64.7
SmartPoint 13: 52.9
SmartPoint 14: 9.2
SmartPoint 15: 88.8
SmartPoint 16: 63.8
SmartPoint 17: 48.8
SmartPoint 18: 36.0
SmartPoint 19: 82.3
SmartPoint 20: 96.9
------------------------------

------------Routes------------
Route 1: 0->1->4->10->20->0
Route 2: 0->2->11->16->0
Route 3: 0->3->9->12->15->0
Route 4: 0->5->13->19->0
Route 5: 0->6->7->0
Route 6: 0->8->17->0
Route 7: 0->14->18->0
------------------------------

Transportation Cost: 802.5
