Total execution time: 60.0143 minutes.

Transportation Cost: 712.8

Parcel Delivery Location:
ID: 1001 -> 3
ID: 1002 -> 4
ID: 1003 -> 4
ID: 1004 -> 12
ID: 1005 -> 15
ID: 1006 -> 12
ID: 1007 -> 4
ID: 1009 -> 17
ID: 1011 -> 10
ID: 1012 -> 19
ID: 1013 -> 1
ID: 1014 -> 9
ID: 1015 -> 15
ID: 1016 -> 12
ID: 1017 -> 2
ID: 1019 -> 14
ID: 1021 -> 16
ID: 1022 -> 16
ID: 1023 -> 12
ID: 1026 -> 3
ID: 1027 -> 7
ID: 1029 -> 20
ID: 1030 -> 15
ID: 1031 -> 8
ID: 1032 -> 1
ID: 1033 -> 17
ID: 1034 -> 2
ID: 1035 -> 14
ID: 1036 -> 15
ID: 1037 -> 8
ID: 1038 -> 10
ID: 1039 -> 7
ID: 1041 -> 15
ID: 1042 -> 7
ID: 1043 -> 4
ID: 1045 -> 20
ID: 1046 -> 14
ID: 1047 -> 9
ID: 1049 -> 14
ID: 1050 -> 13
ID: 1051 -> 7
ID: 1052 -> 14
ID: 1053 -> 18
ID: 1054 -> 2
ID: 1055 -> 11
ID: 1057 -> 1
ID: 1059 -> 13
ID: 1060 -> 19
ID: 1061 -> 11
ID: 1062 -> 11
ID: 1063 -> 7
ID: 1064 -> 11
ID: 1065 -> 3
ID: 1067 -> 9
ID: 1068 -> 20
ID: 1069 -> 19
ID: 1071 -> 7
ID: 1072 -> 19
ID: 1073 -> 1
ID: 1074 -> 17
ID: 1075 -> 6
ID: 1078 -> 4
ID: 1080 -> 14
ID: 1081 -> 12
ID: 1082 -> 11
ID: 1083 -> 15
ID: 1084 -> 6
ID: 1085 -> 18
ID: 1087 -> 5
ID: 1089 -> 14
ID: 1090 -> 10
ID: 1091 -> 9
ID: 1092 -> 10
ID: 1093 -> 19
ID: 1094 -> 11
ID: 1095 -> 9
ID: 1096 -> 17
ID: 1097 -> 14
ID: 1098 -> 15
ID: 1099 -> 16
ID: 1100 -> 7
ID: 1101 -> 16
ID: 1103 -> 12
ID: 1105 -> 5
ID: 1106 -> 1
ID: 1107 -> 3
ID: 1109 -> 19
ID: 1110 -> 1
ID: 1111 -> 9
ID: 1112 -> 15
ID: 1115 -> 12
ID: 1116 -> 12
ID: 1117 -> 5
ID: 1118 -> 7
