Total execution time: 0.4539 minutes.

Transportation Cost: 227.4

Parcel Delivery Location:
ID: 1002 -> 4
ID: 1004 -> 5
ID: 1005 -> 1
ID: 1006 -> 3
ID: 1007 -> 5
ID: 1008 -> 1
ID: 1010 -> 4
ID: 1011 -> 5
ID: 1012 -> 4
ID: 1013 -> 3
ID: 1014 -> 3
ID: 1015 -> 1
ID: 1016 -> 1
ID: 1017 -> 3
ID: 1018 -> 4
ID: 1019 -> 1
ID: 1020 -> 2
ID: 1021 -> 3
ID: 1022 -> 2
ID: 1023 -> 2
ID: 1024 -> 1
ID: 1025 -> 2
ID: 1027 -> 5
ID: 1028 -> 3
ID: 1029 -> 5
ID: 1030 -> 4
ID: 1033 -> 5
ID: 1034 -> 4
ID: 1035 -> 1
ID: 1036 -> 3
ID: 1037 -> 5
ID: 1038 -> 3
ID: 1039 -> 1
ID: 1041 -> 3
ID: 1043 -> 5
ID: 1044 -> 2
ID: 1045 -> 2
ID: 1047 -> 1
ID: 1050 -> 4
ID: 1052 -> 5
ID: 1053 -> 1
ID: 1054 -> 3
ID: 1055 -> 2
ID: 1056 -> 3
ID: 1057 -> 5
ID: 1058 -> 2
ID: 1063 -> 1
ID: 1064 -> 4
ID: 1065 -> 2
ID: 1067 -> 2
ID: 1068 -> 4
ID: 1069 -> 1
ID: 1070 -> 4
ID: 1071 -> 4
ID: 1072 -> 1
ID: 1073 -> 4
ID: 1074 -> 4
ID: 1075 -> 1
ID: 1076 -> 4
ID: 1078 -> 1
ID: 1079 -> 3
ID: 1081 -> 3
ID: 1082 -> 5
ID: 1083 -> 5
ID: 1084 -> 5
ID: 1085 -> 4
ID: 1087 -> 5
ID: 1089 -> 5
ID: 1090 -> 3
ID: 1092 -> 1
ID: 1094 -> 5
ID: 1095 -> 5
ID: 1097 -> 4
ID: 1100 -> 2

Total number of parcels delivered: 74 / 100

Arriving time on each SP:
Smart Point 1: 46.0
Smart Point 2: 21.0
Smart Point 3: 82.0
Smart Point 4: 21.0
Smart Point 5: 50.0

Total number of vehicles used: 2

Route 1: 0->2->5->3->0
Route 2: 0->4->1->0
